,first_bal,last_bal,diff
133.0,2961435509.0,269428159.0,2692007350.0
134.0,2980030722.0,230360356.0,2749670366.0
135.0,2740481137.0,209580959.0,2530900178.0
136.0,2797586474.0,440999241.0,2356587233.0
137.0,4370955239.0,229605490.0,4141349749.0
138.0,4005990422.0,335385041.0,3670605381.0
139.0,3255099460.0,253753065.0,3001346395.0
140.0,3140624185.0,613052238.0,2527571947.0
141.0,2571568763.0,215722094.0,2355846669.0
142.0,2557767276.0,252994666.0,2304772610.0
143.0,2425707886.0,231415292.0,2194292594.0
144.0,2665248682.0,268572409.0,2396676273.0
145.0,2291942796.0,265413832.0,2026528964.0
146.0,3246773783.0,216981795.0,3029791988.0
147.0,2792005881.0,297380887.0,2494624994.0
148.0,2816388330.0,197277292.0,2619111038.0
149.0,2832189347.0,263821199.0,2568368148.0
150.0,2688155574.0,340263583.0,2347891991.0
151.0,3425443606.0,293418624.0,3132024982.0
152.0,2393011131.0,240135405.0,2152875726.0
153.0,2366129209.0,243260196.0,2122869013.0
154.0,2602685157.0,212989900.0,2389695257.0
155.0,2521737579.0,297556823.0,2224180756.0
156.0,2407095238.0,337721630.0,2069373608.0
157.0,2952630532.0,149141481.0,2803489051.0
158.0,2588082483.0,296360912.0,2291721571.0
159.0,2794619943.0,197378127.0,2597241816.0
160.0,2662352387.0,176329907.0,2486022480.0
161.0,2558334750.0,213226061.0,2345108689.0
162.0,2319459833.0,266091623.0,2053368210.0
163.0,2577864989.0,233042868.0,2344822121.0
164.0,2187890898.0,163176205.0,2024714693.0
165.0,2118400216.0,184634876.0,1933765340.0
166.0,3242350549.0,196479340.0,3045871209.0
167.0,2934973736.0,379400924.0,2555572812.0
168.0,4072744786.0,422821268.0,3649923518.0
169.0,3113167018.0,1906406791.0,1206760227.0
170.0,4866645483.0,308307056.0,4558338427.0
171.0,3389759274.0,242019259.0,3147740015.0
172.0,4540188869.0,255764784.0,4284424085.0
173.0,3774640932.0,370704044.0,3403936888.0
174.0,4470068893.0,192515887.0,4277553006.0
175.0,3843145296.0,244548640.0,3598596656.0
176.0,3400132141.0,474622315.0,2925509826.0
177.0,3937388332.0,253293738.0,3684094594.0
178.0,3726097841.0,298728298.0,3427369543.0
179.0,4940074421.0,258904667.0,4681169754.0
180.0,5306570422.0,228185774.0,5078384648.0
181.0,5052307997.0,298841590.0,4753466407.0
182.0,5484527842.0,2177520888.0,3307006954.0
183.0,8076630247.0,313646427.0,7762983820.0
184.0,5995349363.0,2253624304.0,3741725059.0
185.0,8676587443.0,277890078.0,8398697365.0
186.0,6928250384.0,230900233.0,6697350151.0
187.0,6007519559.0,405890834.0,5601628725.0
188.0,6215596678.0,261711597.0,5953885081.0
189.0,6248485726.0,316893293.0,5931592433.0
190.0,6641847671.0,305220027.0,6336627644.0
191.0,6472572787.0,337096714.0,6135476073.0
192.0,6847273500.0,371725345.0,6475548155.0
193.0,5534559891.0,244804398.0,5289755493.0
194.0,5806940312.0,321105931.0,5485834381.0
195.0,6059977794.0,158640206079.0,-152580228285.0
