,Unknown_count,18–24_count,25–34_count,35-44_count,45-54_count,55–64_count,65–74_count,75+_count,Unknown_SL_count,18–24_SL_count,25–34_SL_count,35-44_SL_count,45-54_SL_count,55–64_SL_count,65–74_SL_count,75+_SL_count,Unknown_SL_mean,18–24_SL_mean,25–34_SL_mean,35-44_SL_mean,45-54_SL_mean,55–64_SL_mean,65–74_SL_mean,75+_SL_mean,Unknown_SL_25%,18–24_SL_25%,25–34_SL_25%,35-44_SL_25%,45-54_SL_25%,55–64_SL_25%,65–74_SL_25%,75+_SL_25%,Unknown_SL_50%,18–24_SL_50%,25–34_SL_50%,35-44_SL_50%,45-54_SL_50%,55–64_SL_50%,65–74_SL_50%,75+_SL_50%,Unknown_SL_75%,18–24_SL_75%,25–34_SL_75%,35-44_SL_75%,45-54_SL_75%,55–64_SL_75%,65–74_SL_75%,75+_SL_75%,Unknown_SL_90%,18–24_SL_90%,25–34_SL_90%,35-44_SL_90%,45-54_SL_90%,55–64_SL_90%,65–74_SL_90%,75+_SL_90%,Unknown_SL_perc,18–24_SL_perc,25–34_SL_perc,35-44_SL_perc,45-54_SL_perc,55–64_SL_perc,65–74_SL_perc,75+_SL_perc
200507,68083.0,157894.0,330521.0,389386.0,390230.0,288661.0,175340.0,174608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value,,,,,,,,,9390.0,55873.0,88534.0,39905.0,30460.0,12277.0,2141.0,1020.0,10810.591267305645,11355.57231578759,18732.37076151535,18588.403558451322,16219.939297439265,15845.43707746192,12608.186361513312,13814.696078431372,2625.0,2750.0,4032.0,3612.0,3775.75,2946.0,2504.0,3402.25,5739.5,6678.0,10271.0,9206.0,8942.0,8052.0,7010.0,8272.0,12110.5,14910.0,22747.75,22185.0,19855.0,19430.0,15714.0,17077.0,23255.00000000001,25271.800000000003,44045.7,45473.2,38390.80000000002,38809.399999999994,30319.0,34023.3,0.13791989189665554,0.35386398469859526,0.26786195128297446,0.10248185605029457,0.07805653076390846,0.04253085799605766,0.01221056233603285,0.005841656739668286
200508,69863.0,158594.0,332161.0,391086.0,392970.0,291370.0,176874.0,176659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value,,,,,,,,,9455.0,55608.0,88978.0,40162.0,30624.0,12451.0,2154.0,1025.0,10813.833104177684,11264.91515609265,18767.238092562206,18708.095513171655,16223.563642894462,15828.064974700826,12740.0069637883,13578.559024390244,2625.0,2724.0,4054.0,3622.0,3760.75,2914.0,2504.5,3325.0,5777.0,6625.0,10306.5,9283.0,8891.0,8037.0,7005.5,8056.0,11947.5,14837.0,22770.0,22282.5,19859.5,19461.5,15807.75,16761.0,23306.600000000013,25077.300000000003,44114.0,45731.600000000006,38481.100000000006,38705.0,30504.600000000006,33326.40000000001,0.13533630104633354,0.3506311714188431,0.2678761203151484,0.10269352520928901,0.07792961294755325,0.04273260802416172,0.012178160724583602,0.005802138583372486
200509,67910.0,159798.0,331409.0,390421.0,392443.0,291699.0,176724.0,177487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
value,,,,,,,,,9204.0,56540.0,89242.0,40718.0,31241.0,12663.0,2228.0,1048.0,10985.295197740114,11509.005040679165,18660.35176262298,18535.301684758582,16197.755193495726,15937.893469162125,12875.434021543986,13573.551526717558,2625.0,2799.0,3979.0,3526.0,3743.0,2912.0,2488.0,3483.25,5722.0,6864.0,10198.0,9139.5,8811.0,8043.0,7026.0,8184.5,12375.0,15058.5,22687.75,22285.25,19844.0,19615.0,15902.25,16531.0,23652.7,25731.299999999996,43949.700000000026,45307.30000000003,38485.0,38972.600000000006,31134.299999999996,32918.80000000001,0.1355323221911353,0.35382169989611884,0.269280556653561,0.10429254573908678,0.07960646514270862,0.04341118755977909,0.012607229351983884,0.0059046578059238145
