consumer_age_archive,auto,credit_card,first_mortgage,he_revolving,other,student_loan
0,0.05886693752639617,0.03769570117085287,0.7478956518028846,0.03070851622441528,0.06127316989918937,0.06356002337626167
1,0.18658230576110013,0.07655715023660563,0.36092444437341403,0.010767201896640932,0.08936259336153381,0.27580630437070547
2,0.08183543075330016,0.04378561228377933,0.6995151939902731,0.033283633194061836,0.06610607175794188,0.0754740580206437
3,0.05449057992110731,0.04164390682410604,0.7748985021347328,0.04963932454234315,0.059598128757691056,0.01972955782001971
4,0.05227713006583641,0.050991328392932876,0.7538596340136035,0.06181493892314607,0.06708768046343702,0.013969288141044168
5,0.05145833481805638,0.06007011923831971,0.7207836943171296,0.07484054130012756,0.0831001725477096,0.009747137778657147
6,0.05631332320872702,0.08079503049158766,0.6804172984473327,0.08799911554429561,0.08975554620607812,0.004719686101978962
7,0.0535037049515571,0.11814971765545472,0.642774197143286,0.09156037891126924,0.08678315274047291,0.007228848597960104
