,AB1_count,AB1_25%,AB1_50%,AB1_75%,AB1_mean,AB2_count,AB2_25%,AB2_50%,AB2_75%,AB2_mean,AF1_count,AF1_25%,AF1_50%,AF1_75%,AF1_mean,AF2_count,AF2_25%,AF2_50%,AF2_75%,AF2_mean,BC_count,BC_25%,BC_50%,BC_75%,BC_mean,CFI_count,CFI_25%,CFI_50%,CFI_75%,CFI_mean,CFR_count,CFR_25%,CFR_50%,CFR_75%,CFR_mean,FM_count,FM_25%,FM_50%,FM_75%,FM_mean,HI_count,HI_25%,HI_50%,HI_75%,HI_mean,HR_count,HR_25%,HR_50%,HR_75%,HR_mean,OT1_count,OT1_25%,OT1_50%,OT1_75%,OT1_mean,RT_count,RT_25%,RT_50%,RT_75%,RT_mean,SL1_count,SL1_25%,SL1_50%,SL1_75%,SL1_mean,SL2_count,SL2_25%,SL2_50%,SL2_75%,SL2_mean,tl_mean,tl_25%,tl_50%,tl_75%,pc_count,pc_mean,pc_25%,pc_50%,pc_75%,totalbal_mean,totalbal_25%,totalbal_50%,totalbal_75%,AB1_perc,AB2_perc,AF1_perc,AF2_perc,BC_perc,CFI_perc,CFR_perc,FM_perc,HI_perc,HR_perc,OT1_perc,RT_perc,SL1_perc,SL2_perc,AB1_tl,AB2_tl,AF1_tl,AF2_tl,BC_tl,CFI_tl,CFR_tl,FM_tl,HI_tl,HR_tl,OT1_tl,RT_tl,SL1_tl,SL2_tl
balance,19394.0,0.0,4324.5,12448.0,7942.83835206765,379887.0,3318.0,9712.0,17509.0,12121.574181269694,61455.0,2730.5,7874.0,13993.0,10015.987307786185,390805.0,4227.0,10482.0,17827.0,12451.723271196632,1667395.0,167.0,1284.0,4808.0,4519.853896647165,159139.0,300.0,1588.0,5063.5,3822.085478732429,938896.0,0.0,0.0,304.0,639.9075840135648,719649.0,62389.0,114500.0,195037.0,159149.90748267557,115054.0,10390.25,24933.5,45376.0,36253.46838006502,238896.0,0.0,19338.0,46457.0,37477.2393384569,492288.0,0.0,591.0,7233.0,9423.802048800702,1247673.0,0.0,0.0,333.0,454.39929292370675,65215.0,3939.5,9000.0,19164.0,16711.550072836006,222453.0,3223.0,8195.0,18715.0,15532.169694272498,6.859710033269474,3.0,6.0,10.0,2035199.0,3.3010034890936955,2.0,3.0,5.0,76844.35780284877,1185.0,15490.0,98255.0,0.00952928927343223,0.18665840539426365,0.030196064365204583,0.19202299136349812,0.8192786061706988,0.0781933363764428,0.4613288430271438,0.35360129402579304,0.05653206394067607,0.11738213314766763,0.24188691130449652,0.6130471762220795,0.032043549549700054,0.10930282493259873,21674,484589,72603,469111,5189374,259360,1628268,861841,125590,269176,706754,3216666,132312,523557
balance,19430.0,0.0,4192.0,12349.5,7868.775501801339,382783.0,3360.0,9757.0,17564.5,12164.274369551416,62433.0,2704.0,7879.0,13980.0,9986.487818941905,394178.0,4127.0,10435.0,17806.0,12417.281728051794,1676583.0,183.0,1327.0,4889.0,4570.524862175031,159159.0,330.0,1680.0,5140.0,3887.395290244347,947686.0,0.0,0.0,323.0,653.5504871866842,724329.0,62612.0,115179.0,196765.0,160655.34978856292,117938.0,10690.25,25273.5,46412.25,36829.463582560325,240678.0,0.0,19151.0,46492.0,37433.96322056856,493648.0,0.0,600.0,7220.0,9441.103871584612,1258380.0,0.0,0.0,320.0,447.337893164227,63654.0,3967.0,9078.5,19674.75,17007.853552015586,224743.0,3313.0,8349.0,18947.5,15742.035720801094,6.890226168835517,3.0,6.0,10.0,2045861.0,3.306980288494673,2.0,3.0,5.0,77616.56298888341,1212.0,15590.0,98922.0,0.009497223907196041,0.18710117647288843,0.03051673598548484,0.19267095858418534,0.8194999562531374,0.07779560781499818,0.4632211083744204,0.354046047116593,0.05764712265398285,0.117641423342055,0.24129107500460686,0.6150857756220975,0.031113550725098138,0.10985252663792897,21756,488472,73883,474139,5224095,260670,1648572,869054,128999,271468,709117,3266338,132419,527463
balance,19233.0,0.0,4132.0,12277.0,7865.443872510788,384975.0,3360.0,9788.0,17627.0,12210.548342100137,63163.0,2714.0,7876.0,13959.0,9971.05083672403,395910.0,4071.0,10408.0,17797.0,12403.67725998333,1671982.0,195.0,1355.0,4955.0,4618.670762603903,159496.0,340.0,1722.0,5313.0,3989.779624567387,948665.0,0.0,0.0,329.0,662.1159323891995,726147.0,62915.5,115802.0,197927.5,161862.03449301588,120961.0,10812.0,25536.0,46979.0,37157.440208000924,241160.0,0.0,18918.0,46532.25,37357.849328246804,492361.0,0.0,591.0,7378.0,9568.151648891768,1262109.0,0.0,0.0,305.0,437.5881068909262,60642.0,4000.0,9164.5,19875.0,17138.59612149995,227788.0,3299.0,8357.5,19067.0,15833.649678648568,6.885271682920073,3.0,6.0,10.0,2046853.0,3.3097599094805537,2.0,3.0,5.0,78329.09414110344,1219.0,15728.0,99717.0,0.009396375802268165,0.1880814108292095,0.03085859121294983,0.19342375832558567,0.8168549475707342,0.07792254744234198,0.46347490513485823,0.3547626527161452,0.059096085551820283,0.1178198922931935,0.24054536402956148,0.6166094976043712,0.029626944387310665,0.11128693658020386,21389,491990,74950,476876,5185503,261338,1646717,872157,132645,272443,706911,3285178,125559,539483
balance,19212.0,0.0,4045.0,12259.75,7846.869716843639,385887.0,3355.0,9809.0,17669.0,12212.859715408915,63766.0,2699.0,7864.0,13886.0,9930.359815575699,398088.0,4077.0,10479.0,17947.0,12519.770020698941,1673429.0,200.0,1371.0,5006.0,4658.88263678949,158925.0,350.0,1725.0,5314.0,4000.445883278276,954421.0,0.0,0.0,339.0,674.2542001904819,727876.0,63366.0,116564.0,199532.0,163367.1806475279,123062.0,10930.25,25742.0,47373.75,37446.70736701825,241110.0,0.0,18844.0,46647.75,37377.754879515574,493056.0,0.0,600.0,7433.0,9608.258510189511,1266621.0,0.0,0.0,308.0,441.26956366584795,60572.0,4000.0,9205.0,20015.25,17065.072046490128,228127.0,3156.0,8192.0,18865.0,15628.687047127258,6.897265712393127,3.0,6.0,10.0,2051613.0,3.3116148123452134,2.0,3.0,5.0,78954.03223317458,1208.0,15754.0,100313.0,0.009364339180927397,0.18808956659954876,0.03108091048360485,0.19403659462091535,0.8156650401415861,0.07746343974229057,0.46520518245887504,0.35478231030901053,0.05998304748507638,0.11752216426782244,0.24032602639971573,0.6173781312557485,0.02952408665766887,0.11119397274242267,21411,493899,75780,480392,5189780,258425,1666047,874343,134843,272049,707897,3310209,122926,542519
balance,19137.0,0.0,4063.0,12355.0,7855.567852850499,388117.0,3340.0,9842.0,17711.0,12220.060675002642,64369.0,2703.0,7816.0,13809.0,9881.92463763613,399749.0,4182.0,10560.0,18099.0,12652.8128925901,1677630.0,201.0,1373.0,5028.0,4680.416269976097,159204.0,384.0,1807.0,5486.0,4209.460742192407,958262.0,0.0,0.0,346.0,682.4648008582204,728139.0,63379.5,116847.0,200291.5,164118.14443258772,124873.0,11398.0,26073.0,48058.0,38022.51740568417,242431.0,0.0,18808.0,46900.0,37535.835115971146,492364.0,0.0,640.0,7514.0,9696.641681763898,1265866.0,0.0,0.0,316.0,448.89768743295105,64402.0,4000.0,9000.0,19750.0,16858.05540200615,230421.0,3198.0,8284.0,19090.0,15838.91379691955,6.914971633712442,3.0,6.0,10.0,2056843.0,3.3133126835640834,2.0,3.0,5.0,79339.95151404361,1225.0,15868.0,100385.0,0.009304064529961693,0.1886954910997096,0.031295047798981256,0.1943507598781239,0.8156334732403008,0.07740211576673572,0.4658897154522732,0.35400805992484596,0.060711002249564015,0.11786558332356918,0.23937850385274909,0.6154412368858488,0.03131109180428453,0.11202653775713557,21284,497487,76559,483162,5201395,261097,1676785,873536,136963,273364,706876,3328183,130506,555814
balance,18956.0,0.0,3985.0,12265.75,7778.45552859253,393275.0,3424.0,9891.0,17717.0,12242.8400152565,64446.0,2679.0,7744.0,13692.75,9823.909676318159,397595.0,4241.0,10594.0,18147.0,12710.218020850363,1674715.0,194.0,1351.0,4999.0,4674.414038806603,158072.0,392.0,1821.0,5500.0,4214.229446075206,965218.0,0.0,0.0,345.0,684.7999446757105,726971.0,63683.0,117418.0,201603.0,165339.46701037593,129129.0,11624.0,26394.0,48709.0,38458.87960876333,239955.0,0.0,18735.0,47039.0,37652.20903085995,479192.0,0.0,481.0,6669.0,9346.216879664102,1252199.0,0.0,0.0,327.0,455.62172386337954,68068.0,3938.0,8875.0,19437.0,16682.060498325205,238770.0,3334.0,8605.0,19557.0,16168.582644385811,6.927301073072021,3.0,6.0,10.0,2055780.0,3.3109384272636175,2.0,3.0,5.0,79798.21036151728,1230.0,15929.0,100667.0,0.00922083102277481,0.19130208485343764,0.03134868517059219,0.19340347702575178,0.8146372666335892,0.07689149617176935,0.46951424763350164,0.353622955763749,0.06281265505063771,0.11672212007121384,0.2330949809804551,0.6091113835138001,0.033110546848398176,0.11614569652394711,21108,503400,76540,479673,5169343,253210,1696185,872162,141642,270483,676062,3359032,139654,582513
balance,18894.0,0.0,3898.0,12144.0,7682.676775695988,394003.0,3525.0,9980.0,17796.0,12314.064164486057,64499.0,2792.0,7725.0,13629.0,9822.884153242687,399786.0,4167.0,10533.0,18109.0,12656.968998414151,1679380.0,205.0,1362.0,5017.0,4696.823577748931,158240.0,402.0,1840.0,5516.0,4150.025707785642,974300.0,0.0,0.0,347.0,690.8159745458278,730091.0,64257.0,118275.0,203217.5,166867.80194934603,130961.0,11843.0,26553.0,48902.0,38530.67825535846,241107.0,0.0,18750.0,47285.5,37820.07386761894,479924.0,0.0,480.0,6623.0,9317.01407514523,1239123.0,0.0,0.0,331.0,453.80776000445474,71197.0,3875.0,8748.0,19222.0,16583.558239813476,241395.0,3313.0,8532.0,19463.0,16066.76998280826,6.888182570772962,3.0,6.0,10.0,2064383.0,3.30505531192613,2.0,3.0,5.0,80408.7199482848,1255.0,16010.0,101211.0,0.009152371434951751,0.19085751045227556,0.03124371785661866,0.1936588317187266,0.8135021456774252,0.07665244288487165,0.4719569963519366,0.3536606337099269,0.06343832515574871,0.11679373449597288,0.23247817871005524,0.6002389091559076,0.034488270829589274,0.1169332434921233,20994,502776,76403,482350,5162413,247391,1717956,875177,143528,271575,675611,3316985,145837,580851
balance,18819.0,0.0,3861.0,12078.5,7656.3681917211325,395019.0,3532.0,9993.0,17791.5,12311.609287148212,64910.0,2723.25,7605.0,13485.0,9723.061577568942,399679.0,4063.0,10501.0,18081.0,12612.961506609054,1686302.0,224.0,1422.0,5110.0,4750.315459508439,157246.0,406.0,1839.0,5521.0,4157.767294557572,977013.0,0.0,0.0,370.0,706.339167441989,730544.0,63151.0,118078.5,203847.0,166962.62769798943,132076.0,12087.75,26795.0,49358.25,38953.884687604106,242161.0,0.0,18678.0,47297.0,37836.6706323479,479179.0,0.0,490.0,6631.0,9365.04612263893,1245662.0,0.0,0.0,346.0,453.69910376972246,67766.0,3737.25,8452.5,18941.75,16343.940220759672,244055.0,3341.0,8660.0,19701.0,16293.91076191842,6.9160791404779225,3.0,6.0,10.0,2070546.0,3.3036846319763,2.0,3.0,5.0,80390.32893207879,1272.0,15783.0,100172.75,0.009088906983954956,0.1907801130716246,0.031349218998273885,0.19303072716085515,0.8144238283042251,0.07594421954402365,0.4718624942406496,0.35282674231820976,0.0637880056757976,0.11695514130089359,0.23142639670888743,0.601610396484792,0.032728565315622064,0.11786987586849072,20880,503684,76837,482077,5222250,245835,1727393,875774,144657,272868,673637,3356053,137285,580830
balance,18654.0,0.0,3803.5,11976.75,7626.219684786105,395535.0,3522.0,9992.0,17788.0,12305.492328112556,65112.0,2721.0,7555.0,13389.25,9682.76706290699,398038.0,4054.0,10498.0,18074.0,12616.447871811233,1691058.0,228.0,1457.0,5191.0,4792.5291616254435,157885.0,430.0,1892.0,5619.0,4220.1630427209675,979065.0,0.0,0.0,380.0,713.8700433576934,734700.0,63835.0,119055.0,205842.0,168666.1070328025,137908.0,12702.0,27409.0,49886.0,39628.163072483105,242002.0,0.0,18849.5,47800.0,38225.79476615896,463618.0,0.0,643.0,6972.0,9597.184854772679,1245556.0,0.0,0.0,324.0,430.4668397085318,68545.0,3750.0,8500.0,19009.0,16409.854839886208,242764.0,3411.0,8875.0,20107.25,16643.178473744047,6.911126197072658,3.0,6.0,10.0,2071094.0,3.3028148408522258,2.0,3.0,5.0,81559.30992460989,1295.0,15988.0,101788.0,0.009006834069337269,0.19097877739977037,0.03143845716321905,0.19218731742740794,0.8165047071740829,0.07623265771616354,0.4727284227562824,0.3547400552558213,0.06658703081559794,0.11684742459782124,0.22385174212276218,0.601400033026024,0.03309603523548424,0.11721534609245163,20702,503895,77086,479465,5228512,245587,1734088,880989,151010,272789,652736,3353633,141879,571221
balance,18740.0,0.0,5329.0,13222.25,8611.8,399515.0,3497.0,9984.0,17780.0,12302.140395229215,66111.0,2731.5,7500.0,13327.5,9650.949524284915,400012.0,4017.0,10495.5,18044.0,12585.139015829525,1703118.0,182.0,1351.0,5035.0,4709.417151365907,158968.0,420.0,1880.5,5596.25,4204.592326757586,985432.0,0.0,0.0,350.0,705.3297853124315,738036.0,63182.0,118275.0,204791.0,167874.26479196138,139744.0,12837.75,27615.0,50000.0,39954.48112978017,242768.0,0.0,18610.5,47665.0,38045.261714888285,463720.0,0.0,616.0,6925.0,9625.972852152161,1254198.0,0.0,0.0,291.0,418.40164312173994,115429.0,4879.0,10900.0,23754.0,19714.542974469154,191396.0,3144.0,8425.0,19336.0,15967.314562477795,6.890618189977949,3.0,6.0,10.0,2085621.0,3.2974289192523476,2.0,3.0,5.0,81112.39067356917,1199.0,15873.0,100900.0,0.008985333385116472,0.19155685524838884,0.03169847254127188,0.19179515357775934,0.8165999479291779,0.07622094330657392,0.4724885297952025,0.35386870385367236,0.06700354474758358,0.11640082258473615,0.22234145129915742,0.6013547044261637,0.05534514660141991,0.09176930995612338,20813,509094,78362,481513,5239321,246562,1747147,884172,153128,273505,650992,3375979,317058,393572
